Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
AA-10315,185,11,5563.56,2,3,5,235,Others/Standard
AA-10375,20,15,1056.39,5,4,2,542,Loyal Customers
AA-10480,260,12,1790.5120000000002,1,3,3,133,Lost / Hibernating
AA-10645,56,18,5086.9349999999995,3,4,5,345,Potential Loyalist
AB-10015,416,6,886.156,1,1,1,111,Lost / Hibernating
AB-10060,55,18,7755.62,3,5,5,355,Potential Loyalist
AB-10105,42,20,14473.570999999998,4,5,5,455,VIP / Champions
AB-10150,42,12,966.71,4,3,2,432,Loyal Customers
AB-10165,26,14,1113.838,5,4,2,542,Loyal Customers
AB-10255,167,14,914.5319999999999,2,4,1,241,At Risk
AB-10600,51,8,1515.862,4,2,2,422,Loyal Customers
AC-10420,233,5,925.8,1,1,1,111,Lost / Hibernating
AC-10450,12,9,5527.846,5,2,5,525,Loyal Customers
AC-10615,7,18,2537.6859999999997,5,5,3,553,Loyal Customers
AC-10660,283,6,657.316,1,1,1,111,Lost / Hibernating
AD-10180,30,12,6106.88,4,3,5,435,Loyal Customers
AF-10870,42,16,2052.908,4,4,3,443,Loyal Customers
AF-10885,416,7,861.565,1,1,1,111,Lost / Hibernating
AG-10270,279,14,2582.898,1,4,3,143,At Risk
AG-10300,119,5,367.548,2,1,1,211,Others/Standard
AG-10330,9,9,660.972,5,2,1,521,Loyal Customers
AG-10390,115,8,200.945,2,2,1,221,Others/Standard
AG-10495,79,21,2356.855,3,5,3,353,Potential Loyalist
AG-10525,846,9,1455.038,1,2,2,122,Lost / Hibernating
AG-10675,98,15,3489.0396000000005,3,4,4,344,Potential Loyalist
AG-10765,78,5,170.584,3,1,1,311,Others/Standard
AG-10900,97,21,4510.797,3,5,5,355,Potential Loyalist
AH-10030,13,11,1744.7,5,3,3,533,Loyal Customers
AH-10075,35,20,3250.337,4,5,4,454,VIP / Champions
AH-10120,61,16,1735.5140000000001,3,4,2,342,Potential Loyalist
AH-10195,56,8,1587.452,3,2,2,322,Others/Standard
AH-10210,7,13,4805.344,5,3,5,535,Loyal Customers
AH-10465,231,8,2495.3916,1,2,3,123,Lost / Hibernating
AH-10585,22,5,738.504,5,1,1,511,Others/Standard
AH-10690,411,23,7888.294,1,5,5,155,At Risk
AI-10855,14,18,4375.786,5,5,5,555,VIP / Champions
AJ-10780,76,15,4867.344,3,4,5,345,Potential Loyalist
AJ-10795,167,21,4501.391,2,5,5,255,At Risk
AJ-10945,86,10,1839.24,3,2,3,323,Others/Standard
AJ-10960,75,5,629.2479999999999,3,1,1,311,Others/Standard
AM-10360,29,12,814.012,4,3,1,431,Loyal Customers
AM-10705,163,22,5664.022,2,5,5,255,At Risk
AO-10810,502,1,161.28,1,1,1,111,Lost / Hibernating
AP-10720,42,19,1638.554,4,5,2,452,Loyal Customers
AP-10915,99,31,3323.556,3,5,4,354,Potential Loyalist
AR-10345,112,5,1055.694,2,1,2,212,Others/Standard
AR-10405,126,7,2236.128,2,1,3,213,Others/Standard
AR-10510,15,7,264.86400000000003,5,1,1,511,Others/Standard
AR-10540,7,9,6608.448,5,2,5,525,Loyal Customers
AR-10570,535,2,88.15,1,1,1,111,Lost / Hibernating
AR-10825,59,13,4523.336,3,3,5,335,Potential Loyalist
AS-10045,89,10,3050.692,3,2,4,324,Others/Standard
AS-10090,29,25,3255.31,4,5,4,454,VIP / Champions
AS-10135,42,3,58.82,4,1,1,411,Others/Standard
AS-10225,23,13,4260.784,5,3,4,534,Loyal Customers
AS-10240,193,13,584.6080000000001,2,3,1,231,Others/Standard
AS-10285,20,8,3214.236,5,2,4,524,Loyal Customers
AS-10630,93,12,833.398,3,3,1,331,Potential Loyalist
AT-10435,22,9,1171.814,5,2,2,522,Loyal Customers
AT-10735,14,16,3831.864,5,4,4,544,VIP / Champions
AW-10840,21,8,649.376,5,2,1,521,Loyal Customers
AW-10930,47,16,2852.968,4,4,4,444,VIP / Champions
AY-10555,15,10,497.014,5,2,1,521,Loyal Customers
AZ-10750,161,12,1622.0179999999998,2,3,2,232,Others/Standard
BB-10990,106,8,744.3399999999999,2,2,1,221,Others/Standard
BB-11545,29,20,6765.728,4,5,5,455,VIP / Champions
BC-11125,203,18,2933.676,2,5,4,254,At Risk
BD-11320,34,19,5718.521,4,5,5,455,VIP / Champions
